JAIL ID,ARREST DT,charges,warrants_filed_by,RACE,SEX,RELEASE DT,ARREST YEAR,days_served
6291,2011-06-24 00:00:00,"[DEFECTIVE EQUIPMENT, FAILURE TO APPEAR]","[PAPD, PAPD]",W,M,2011-06-28,2011,4.0
6545,2006-06-17 00:00:00,"[FAILURE TO APPEAR, FAILURE CHANGE DL ADDRESS, DRIVING-NO MVI STICKER, VEH-LICENSE PLATE OFFENSE]","[PAPD, PAPD, PAPD, PAPD]",B,M,2006-06-21,2006,4.0
6545,2011-06-01 00:00:00,"[TRAFFIC OFFENSE, TRAFFIC OFFENSE]","[PAPD, PAPD]",B,M,2011-06-01,2011,0.0
6545,2015-05-07 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, STOP LIGHT- RUNNING]","[PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2015-05-11,2015,4.0
6562,2005-01-17 00:00:00,"[FAILURE TO APPEAR, DRIVING-WHILE LIC EXPIRED, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, VEH-LICENSE PLATE OFFENSE, FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2005-01-24,2005,7.0
7127,2013-02-05 00:00:00,"[DRIVING-WHILE LIC INVALID, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, SPEED-FAILURE TO CONTROL, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD, PAPD, PAPD]",W,M,2013-02-05,2013,0.0
7680,2005-06-02 00:00:00,"[FAILURE TO MNTN FINAN RESP, FAILURE TO MNTN FINAN RESP, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, VEH-LICENSE PLATE OFFENSE, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2005-06-02,2005,0.0
7839,2012-10-06 00:00:00,"[SPEEDING, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD]",W,M,2012-10-11,2012,5.0
7999,2005-08-07 00:00:00,"[DRIVING-NO DRIVERS LICENSE, FAILURE TO MNTN FINAN RESP, SPEEDING]","[PAPD, PAPD, PAPD]",B,M,2005-08-07,2005,0.0
7999,2013-10-13 00:00:00,[SPEEDING],[PAPD],B,M,2013-10-13,2013,0.0
8051,2012-03-26 00:00:00,[DEFECTIVE EQUIPMENT],[PAPD],B,M,2012-03-27,2012,1.0
8828,2010-02-23 00:00:00,"[FAILURE TO APPEAR, SPEEDING]","[PAPD, PAPD]",B,M,2010-02-25,2010,2.0
8903,2007-07-02 00:00:00,[DRIVING-WHILE LIC INVALID],[PAPD],B,M,2007-07-03,2007,1.0
8903,2008-04-17 00:00:00,"[FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID]","[PAPD, PAPD]",B,M,2008-04-23,2008,6.0
8903,2009-05-06 00:00:00,"[FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID, FAILURE TO SIGNAL, DEFECTIVE EQUIPMENT, DEFECTIVE EQUIPMENT, FAILURE TO MNTN FINAN RESP, VEH-LICENSE PLATE OFFENSE]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2009-05-08,2009,2.0
9076,2009-01-23 00:00:00,"[DRIVING-NO DRIVERS LICENSE, DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP, SPEEDING, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD, PAPD, PAPD]",W,M,2009-01-27,2009,4.0
9076,2010-08-17 00:00:00,"[DRIVING-NO DRIVERS LICENSE, DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP, SPEEDING, TRAF OFF-MOVING-NO SEATBELT]","[PAPD, PAPD, PAPD, PAPD, PAPD]",W,M,2010-08-24,2010,7.0
9115,2006-04-06 00:00:00,"[SPEED-FAILURE TO CONTROL, NO LIABILITY INSURANCE]","[PAPD, PAPD]",W,M,2006-04-06,2006,0.0
9206,2012-06-16 00:00:00,[DRIVING-NO DRIVERS LICENSE],[PAPD],B,M,2012-06-16,2012,0.0
9236,2005-08-14 00:00:00,"[DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD]",B,M,2005-08-19,2005,5.0
9347,2010-03-09 00:00:00,"[FAILURE TO APPEAR, FAILURE TO MNTN FINAN RESP, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD]",B,M,2010-03-14,2010,5.0
9972,2007-09-14 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO MNTN FINAN RESP, SPEEDING, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, SPEEDING, FAILURE TO APPEAR, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",W,M,2007-09-15,2007,1.0
10201,2010-05-07 00:00:00,"[FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD]",B,M,2010-05-12,2010,5.0
10617,2005-04-16 00:00:00,"[FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, DEFECTIVE EQUIPMENT]","[PAPD, PAPD, PAPD]",B,M,2005-04-17,2005,1.0
10617,2015-10-04 00:00:00,"[DRIVING-WHILE LIC INVALID, DEFECTIVE EQUIPMENT, FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID]","[PAPD, PAPD, PAPD, PAPD]",B,M,2015-10-04,2015,0.0
10901,2006-05-03 00:00:00,"[FAILURE TO APPEAR, TRAF OFF-MOVING-NO SEATBELT]","[PAPD, PAPD]",W,M,2006-05-03,2006,0.0
11126,2014-05-13 00:00:00,"[STOP SIGN- RUNNING, FAILURE TO MNTN FINAN RESP, SPEED-FAILURE TO CONTROL, FAILURE TO APPEAR, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2014-05-17,2014,4.0
11213,2012-08-08 00:00:00,"[FAILURE TO MNTN FINAN RESP, DRIVING-WHILE LIC INVALID, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD, PAPD]",B,M,2012-08-08,2012,0.0
11589,2005-09-06 00:00:00,"[SPEEDING, DRIVING-WHILE LIC EXPIRED, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD, PAPD]",B,M,2005-09-06,2005,0.0
11589,2007-05-16 00:00:00,"[FAILURE TO APPEAR, DEFECTIVE EQUIPMENT, DRIVING-NO MVI STICKER, DRIVING-EXPIRED LIC. PLATE, DRIVING-WHILE LIC EXPIRED, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2007-05-16,2007,0.0
11589,2013-01-22 00:00:00,"[FAILURE TO APPEAR, DEFECTIVE EQUIPMENT, DRIVING-NO MVI STICKER, DRIVING-EXPIRED LIC. PLATE, FAILURE TO APPEAR, SPEEDING]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2013-02-03,2013,12.0
11866,2008-12-22 00:00:00,"[FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, FAILURE TO MNTN FINAN RESP, SPEEDING]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2008-12-24,2008,2.0
12372,2005-01-15 00:00:00,"[FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD, PAPD]",W,M,2005-01-20,2005,5.0
12372,2010-08-23 00:00:00,"[DRIVING-NO DRIVERS LICENSE, FAILURE TO SIGNAL]","[PAPD, PAPD]",W,M,2010-08-28,2010,5.0
12489,2010-10-20 00:00:00,"[FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD]",W,M,2010-10-26,2010,6.0
12519,2010-09-10 00:00:00,"[DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, VEH-LICENSE PLATE OFFENSE, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO SIGNAL, DRIVING-EXPIRED LIC. PLATE, FAILURE TO MNTN FINAN RESP, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2010-09-24,2010,14.0
12519,2014-08-06 00:00:00,[TRAF OFF-MOVING-NO SEATBELT],[PAPD],B,M,2014-08-07,2014,1.0
12714,2009-08-10 00:00:00,"[FAILURE TO MNTN FINAN RESP, SPEEDING, TRAFFIC OFFENSE-MOVING, NO LIABILITY INSURANCE]","[PAPD, PAPD, PAPD, PAPD]",B,M,2009-08-18,2009,8.0
13102,2013-08-14 00:00:00,"[DRIVING-WHILE LIC INVALID, DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD, PAPD, PAPD]",B,M,2013-08-14,2013,0.0
13139,2006-09-19 00:00:00,"[FAILURE TO APPEAR, DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",W,M,2006-09-24,2006,5.0
13139,2015-04-08 00:00:00,"[DRIVING-NO DRIVERS LICENSE, TRAFFIC OFFENSE, FAILURE TO APPEAR, SPEEDING, FAILURE TO APPEAR, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",W,M,2015-04-28,2015,20.0
13239,2009-07-21 00:00:00,"[SPEEDING, FAILURE TO APPEAR, FAILURE TO MNTN FINAN RESP, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD]",W,M,2009-07-21,2009,0.0
13653,2011-09-01 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, DRIVING-NO DRIVERS LICENSE, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2011-09-21,2011,20.0
13679,2008-04-09 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID, DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, DRIVING-WHILE LIC EXPIRED, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",W,M,2008-04-14,2008,5.0
13746,2011-06-25 00:00:00,[SPEEDING],[PAPD],W,M,2011-06-26,2011,1.0
14002,2005-12-05 00:00:00,"[FAILURE TO APPEAR, TRAF OFF-MOVING-NO SEATBELT, SPEEDING]","[PAPD, PAPD, PAPD]",W,M,2005-12-10,2005,5.0
14176,2005-07-27 00:00:00,"[FAILURE TO APPEAR, DRIVING-NO MVI STICKER, TRAFFIC OFFENSE, NO LIABILITY INSURANCE, FAILURE TO APPEAR, TRAF OFF-MOVING-NO SEATBELT, DRIVING-EXPIRED LIC. PLATE, SPEEDING]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",W,M,2005-07-28,2005,1.0
14224,2013-04-09 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, DRIVING-NO MVI STICKER, NO LIABILITY INSURANCE]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2013-04-19,2013,10.0
14363,2006-06-17 00:00:00,"[DRIVING-WHILE LIC INVALID, TRAFFIC IN CHILDREN U/15 YR]","[PAPD, PAPD]",B,M,2006-06-20,2006,3.0
14661,2006-01-20 00:00:00,[FAILURE TO YIELD R.O.W.],[PAPD],W,M,2006-01-20,2006,0.0
14858,2006-10-25 00:00:00,[TRAF OFF-MOVING-NO SEATBELT],[PAPD],W,M,2006-10-25,2006,0.0
15459,2010-07-13 00:00:00,"[DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD, PAPD]",B,M,2010-07-21,2010,8.0
15474,2006-11-24 00:00:00,"[FAILURE TO APPEAR, TRAF OFF-MOVING-NO SEATBELT]","[PAPD, PAPD]",B,M,2006-11-25,2006,1.0
15575,2009-01-11 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID, TRAF OFF-MOVING-NO SEATBELT, FAILURE TO MNTN FINAN RESP, SPEEDING, DRIVING-WHILE LIC INVALID, FAILURE TO MNTN FINAN RESP, FAILURE TO APPEAR, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2009-01-15,2009,4.0
15727,2008-02-12 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE CHANGE DL ADDRESS, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD, PAPD]",W,M,2008-02-12,2008,0.0
15727,2008-10-12 00:00:00,"[FAILURE TO APPEAR, FAILURE TO MNTN FINAN RESP, SPEEDING, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE CHANGE DL ADDRESS, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",W,M,2008-10-12,2008,0.0
15727,2011-03-09 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE CHANGE DL ADDRESS, FAILURE TO MNTN FINAN RESP, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",W,M,2011-03-11,2011,2.0
16200,2005-01-08 00:00:00,"[FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID]","[PAPD, PAPD]",B,M,2005-01-12,2005,4.0
16200,2008-11-30 00:00:00,"[DRIVING-WHILE LIC INVALID, TRAF OFF-MOVING-NO SEATBELT, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID, STOP SIGN- RUNNING, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2008-12-03,2008,3.0
16200,2009-09-20 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, TRAF OFF-MOVING-NO SEATBELT]","[PAPD, PAPD, PAPD, PAPD]",B,M,2009-09-25,2009,5.0
16264,2011-05-13 00:00:00,[SPEEDING],[PAPD],B,M,2011-05-13,2011,0.0
16519,2012-05-27 00:00:00,"[DRIVING-NO DRIVERS LICENSE, DRIVING-NO MVI STICKER, FAILURE TO APPEAR, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD]",B,M,2012-06-01,2012,5.0
16646,2014-02-11 00:00:00,"[FAILURE TO APPEAR, TRAF OFF-MOVING-NO SEATBELT]","[PAPD, PAPD]",B,M,2014-02-14,2014,3.0
16682,2005-08-01 00:00:00,"[FAILURE TO APPEAR, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD]",B,M,2005-08-01,2005,0.0
16729,2006-03-21 00:00:00,"[FAILURE TO APPEAR, STOP LIGHT- RUNNING, STOP LIGHT- RUNNING, NO LIABILITY INSURANCE]","[PAPD, PAPD, PAPD, PAPD]",B,M,2006-03-21,2006,0.0
16807,2007-04-24 00:00:00,"[FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID]","[PAPD, PAPD]",B,M,2007-04-30,2007,6.0
16915,2009-07-26 00:00:00,"[FAILURE TO APPEAR, FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, STOP SIGN- RUNNING]","[PAPD, PAPD, PAPD, PAPD]",W,M,2009-07-26,2009,0.0
17146,2005-02-01 00:00:00,"[DRIVING-WHILE LIC INVALID, DEFECTIVE EQUIPMENT, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD]",B,M,2005-02-01,2005,0.0
17182,2009-02-19 00:00:00,[DRIVING-WHILE LIC INVALID],[PAPD],B,M,2009-02-19,2009,0.0
17656,2006-05-04 00:00:00,"[TRAFFIC OFFENSE-MOVING, NO LIABILITY INSURANCE, TRAFFIC OFFENSE-MOVING, NO LIABILITY INSURANCE, NO LIABILITY INSURANCE, DRIVING-EXPIRED LIC. PLATE, FAILURE TO APPEAR, DRIVING-NO MVI STICKER, NO LIABILITY INSURANCE]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2006-05-13,2006,9.0
17656,2011-01-14 00:00:00,"[DRIVING-NO MVI STICKER, SPEEDING, FAILURE TO APPEAR, SPEEDING]","[PAPD, PAPD, PAPD, PAPD]",B,M,2011-01-21,2011,7.0
17684,2010-05-25 00:00:00,"[SPEEDING, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD]",W,M,2010-05-28,2010,3.0
17815,2006-06-25 00:00:00,"[DRIVING-NO DRIVERS LICENSE, NO LIABILITY INSURANCE, DRIVING-EXP MVI STICKER]","[PAPD, PAPD, PAPD]",B,M,2006-06-30,2006,5.0
17815,2006-10-07 00:00:00,"[FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP, FAILURE TO APPEAR, DRIVING-NO DRIVERS LICENSE, DRIVING-NO MVI STICKER, TRAF OFF-MOVING-NO SEATBELT, TRAFFIC IN CHILDREN U/15 YR, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2006-10-22,2006,15.0
17815,2010-09-08 00:00:00,"[DRIVING-WHILE LIC INVALID, STOP SIGN- RUNNING, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD]",B,M,2010-09-13,2010,5.0
17833,2015-05-28 00:00:00,[TRAFFIC OFFENSE-NON MOVING],[PAPD],B,M,2015-06-02,2015,5.0
17906,2013-04-23 00:00:00,"[DRIVING-D.L. VIOLATION, SPEEDING]","[PAPD, PAPD]",B,F,2013-04-23,2013,0.0
17927,2010-03-05 00:00:00,[STOP SIGN- RUNNING],[PAPD],W,M,2010-03-05,2010,0.0
18354,2010-05-30 00:00:00,"[FAILURE TO APPEAR, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD, PAPD]",B,M,2010-06-06,2010,7.0
18513,2009-04-19 00:00:00,"[DRIVING-WHILE LIC INVALID, DRIVING-NO MVI STICKER, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD, PAPD]",W,M,2009-04-22,2009,3.0
18575,2015-08-23 00:00:00,"[FAILURE TO MNTN FINAN RESP, SPEEDING]","[PAPD, PAPD]",B,M,2015-08-23,2015,0.0
18944,2015-03-17 00:00:00,"[TRAFFIC OFFENSE-MOVING, FAILURE TO APPEAR]","[PAPD, PAPD]",B,M,2015-03-17,2015,0.0
19040,2006-09-07 00:00:00,"[FAILURE TO APPEAR, TRAFFIC OFFENSE]","[PAPD, PAPD]",B,M,2006-09-08,2006,1.0
19161,2007-08-29 00:00:00,[TRAF OFF-NO CHILD RESTRAINT],[PAPD],B,M,2007-08-31,2007,2.0
19161,2009-07-20 00:00:00,"[STOP SIGN- RUNNING, SPEEDING]","[PAPD, PAPD]",B,M,2009-07-22,2009,2.0
19195,2005-08-24 00:00:00,"[FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD]",B,M,2005-08-24,2005,0.0
19195,2009-03-07 00:00:00,"[DRIVING-WHILE LIC INVALID, NO LIABILITY INSURANCE]","[PAPD, PAPD]",B,M,2009-03-09,2009,2.0
19343,2015-06-03 00:00:00,"[DRIVING-NO DRIVERS LICENSE, DRIVING-EXPIRED LIC. PLATE, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD]",B,F,2015-06-10,2015,7.0
19463,2007-10-15 00:00:00,"[FAILURE TO APPEAR, TRAFFIC OFFENSE-NON MOVING]","[PAPD, PAPD]",B,M,2007-10-15,2007,0.0
19463,2009-10-03 00:00:00,"[TRAFFIC OFFENSE-MOVING, FAILURE TO APPEAR]","[PAPD, PAPD]",B,M,2009-10-04,2009,1.0
19471,2013-09-13 00:00:00,[SPEEDING],[PAPD],B,M,2013-09-14,2013,1.0
19472,2005-06-11 00:00:00,"[FAILURE TO APPEAR, TRAF OFF-MOVING-NO SEATBELT, FAILURE TO APPEAR, TRAF OFF-MOVING-NO SEATBELT]","[PAPD, PAPD, PAPD, PAPD]",B,M,2005-06-18,2005,7.0
19510,2007-06-11 00:00:00,[NO LIABILITY INSURANCE],[PAPD],B,M,2007-06-11,2007,0.0
19510,2008-03-22 00:00:00,"[FAILURE TO APPEAR, FAILURE TO SIGNAL]","[PAPD, PAPD]",B,M,2008-03-26,2008,4.0
19700,2010-07-16 00:00:00,"[FAILURE TO SIGNAL, FAILURE CHANGE DL ADDRESS, STOP LIGHT- RUNNING, FAILURE TO MNTN FINAN RESP]","[PAPD, PAPD, PAPD, PAPD]",B,M,2010-07-26,2010,10.0
19754,2007-09-30 00:00:00,"[FAILURE TO APPEAR, DRIVING-WHILE LIC INVALID, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE]","[PAPD, PAPD, PAPD, PAPD]",B,M,2007-09-30,2007,0.0
19754,2013-01-22 00:00:00,"[FAILURE TO APPEAR, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, DRIVING-NO MVI STICKER, DRIVING-NO DRIVERS LICENSE, DRIVING-D.L. VIOLATION, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, SPEEDING, FAILURE TO APPEAR]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2013-02-07,2013,16.0
20102,2010-06-01 00:00:00,[SPEEDING],[PAPD],B,M,2010-06-04,2010,3.0
20185,2010-04-17 00:00:00,"[DRIVING-EXP MVI STICKER, FAILURE TO MNTN FINAN RESP, FAILURE TO MNTN FINAN RESP, TRAFFIC OFFENSE-NON MOVING, TRAFFIC OFFENSE-NON MOVING, TRAFFIC OFFENSE, FAILURE TO APPEAR, FAILURE TO APPEAR, FAILURE TO APPEAR, TRAFFIC OFFENSE]","[PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD, PAPD]",B,M,2010-04-20,2010,3.0
20534,2013-10-01 00:00:00,"[DRIVING-NO DRIVERS LICENSE, FAILURE TO MNTN FINAN RESP, SPEEDING]","[PAPD, PAPD, PAPD]",B,M,2013-10-11,2013,10.0
20534,2014-11-01 00:00:00,"[DRIVING-WHILE LIC INVALID, FAILURE TO MNTN FINAN RESP, DRIVING-EXPIRED LIC. PLATE, SPEEDING]","[PAPD, PAPD, PAPD, PAPD]",B,M,2014-11-08,2014,7.0
